"City","Date","PM2.5","PM10","NO","NO2","NH3","CO","SO2","O3","AQI","AQI_Bucket","Latitude","Longitude","Year"
"Avda. Francia","1-01-2019",18,22,19,38,4.67326007326007,0.1,6,20,153.75,"Moderate",39.458788,-0.34471,2019
"Avda. Francia","2-01-2019",4,17,3,7,4.67326007326007,0.1,3,63,121.25,"Moderate",39.458788,-0.34471,2019
"Avda. Francia","3-01-2019",30,46,22,65,4.67326007326007,0.1,5,41,261.25,"Poor",39.458788,-0.34471,2019
"Avda. Francia","4-01-2019",18,23,2,26,4.67326007326007,0.1,4,68,176.25,"Moderate",39.458788,-0.34471,2019
"Avda. Francia","5-01-2019",13,18,2,8,4.67326007326007,0.2,3,73,146.25,"Moderate",39.458788,-0.34471,2019
"Avda. Francia","6-01-2019",9,16,2,17,4.67326007326007,0.2,7,65,145,"Moderate",39.458788,-0.34471,2019
"Avda. Francia","7-01-2019",22,35,2,14,4.67326007326007,0.2,4,66,178.75,"Moderate",39.458788,-0.34471,2019
"Avda. Francia","8-01-2019",11,19,2,5,4.67326007326007,0.1,3,65,131.25,"Moderate",39.458788,-0.34471,2019
"Avda. Francia","9-01-2019",14,19,2,19,4.67326007326007,0.1,6,76,170,"Moderate",39.458788,-0.34471,2019
"Avda. Francia","10-01-2019",23,34,9,25,4.67326007326007,0.1,3,44,172.5,"Moderate",39.458788,-0.34471,2019
"Avda. Francia","11-01-2019",6,8,5,23,4.67326007326007,0.2,4,30,95,"Satisfactory",39.458788,-0.34471,2019
"Avda. Francia","12-01-2019",5,6,1,13,4.67326007326007,0.1,3,58,107.5,"Moderate",39.458788,-0.34471,2019
"Avda. Francia","13-01-2019",14,22,19,54,4.67326007326007,0.2,5,25,173.75,"Moderate",39.458788,-0.34471,2019
"Avda. Francia","14-01-2019",14,25,7.75598953090397,19.3019931548218,4.67326007326007,0.3,5,15,73.75,"Satisfactory",39.458788,-0.34471,2019
"Avda. Francia","15-01-2019",22,35,7.75598953090397,19.3019931548218,4.67326007326007,0.3,6,9,90,"Satisfactory",39.458788,-0.34471,2019
"Avda. Francia","16-01-2019",38,50,7.75598953090397,19.3019931548218,4.67326007326007,0.2,5,13,132.5,"Moderate",39.458788,-0.34471,2019
"Avda. Francia","17-01-2019",44,63,22,34,4.67326007326007,0.1,3,10,220,"Poor",39.458788,-0.34471,2019
"Avda. Francia","18-01-2019",17,29,11,25,4.67326007326007,0.1,3,20,131.25,"Moderate",39.458788,-0.34471,2019
"Avda. Francia","19-01-2019",16,22,2,13,4.67326007326007,0.1,3,33,111.25,"Moderate",39.458788,-0.34471,2019
"Avda. Francia","20-01-2019",15,19,3,13,4.67326007326007,0.2,3,28,101.25,"Moderate",39.458788,-0.34471,2019
"Avda. Francia","21-01-2019",6,12,9,18,4.67326007326007,0.1,3,33,101.25,"Moderate",39.458788,-0.34471,2019
"Avda. Francia","22-01-2019",8,12,7.75598953090397,19.3019931548218,4.67326007326007,0.2,3,41,80,"Satisfactory",39.458788,-0.34471,2019
"Avda. Francia","23-01-2019",5,19,7.75598953090397,19.3019931548218,4.67326007326007,0.2,3,46,91.25,"Satisfactory",39.458788,-0.34471,2019
"Avda. Francia","24-01-2019",3,13,7.75598953090397,19.3019931548218,4.67326007326007,0.2,3,60,98.75,"Satisfactory",39.458788,-0.34471,2019
"Avda. Francia","25-01-2019",3,7,7.75598953090397,19.3019931548218,4.67326007326007,0.2,3,47,75,"Satisfactory",39.458788,-0.34471,2019
"Avda. Francia","26-01-2019",13,18,15,38,4.67326007326007,0.1,3,28,143.75,"Moderate",39.458788,-0.34471,2019
"Avda. Francia","27-01-2019",6,12,3,26,4.67326007326007,0.1,3,46,120,"Moderate",39.458788,-0.34471,2019
"Avda. Francia","28-01-2019",5,14,6,30,4.67326007326007,0.2,3,40,122.5,"Moderate",39.458788,-0.34471,2019
"Avda. Francia","29-01-2019",7,16,4,18,4.67326007326007,0.2,3,44,115,"Moderate",39.458788,-0.34471,2019
"Avda. Francia","30-01-2019",6,14,7,19,4.67326007326007,0.2,3,45,117.5,"Moderate",39.458788,-0.34471,2019
"Avda. Francia","31-01-2019",3,14,3,10,4.67326007326007,0.1,3,49,102.5,"Moderate",39.458788,-0.34471,2019
"Avda. Francia","1-02-2019",17,26,22,49,4.67326007326007,0.2,6,12,165,"Moderate",39.458788,-0.34471,2019
"Avda. Francia","2-02-2019",4,17,2,4,4.67326007326007,0.1,3,68,122.5,"Moderate",39.458788,-0.34471,2019
"Avda. Francia","3-02-2019",29,48,7,60,4.67326007326007,0.1,5,41,237.5,"Poor",39.458788,-0.34471,2019
"Avda. Francia","4-02-2019",27,32,11,51,4.67326007326007,0.1,4,25,187.5,"Moderate",39.458788,-0.34471,2019
"Avda. Francia","5-02-2019",12,16,2,18,4.67326007326007,0.2,4,65,146.25,"Moderate",39.458788,-0.34471,2019
"Avda. Francia","6-02-2019",7,12,3,15,4.67326007326007,0.2,6,78,151.25,"Moderate",39.458788,-0.34471,2019
"Avda. Francia","7-02-2019",18,27,2,10,4.67326007326007,0.1,3,74,167.5,"Moderate",39.458788,-0.34471,2019
"Avda. Francia","8-02-2019",10,18,2,5,4.67326007326007,0.2,3,78,145,"Moderate",39.458788,-0.34471,2019
"Avda. Francia","9-02-2019",8,11,2,24,4.67326007326007,0.1,5,67,146.25,"Moderate",39.458788,-0.34471,2019
"Avda. Francia","10-02-2019",7,20,5,23,4.67326007326007,0.2,4,47,132.5,"Moderate",39.458788,-0.34471,2019
"Avda. Francia","11-02-2019",6,10,1,9,4.67326007326007,0.2,3,51,100,"Satisfactory",39.458788,-0.34471,2019
"Avda. Francia","12-02-2019",5,6,1,11,4.67326007326007,0.1,4,59,107.5,"Moderate",39.458788,-0.34471,2019
"Avda. Francia","13-02-2019",15,25,24,43,4.67326007326007,0.2,4,38,186.25,"Moderate",39.458788,-0.34471,2019
"Avda. Francia","14-02-2019",12,19,7,39,4.67326007326007,0.1,5,48,162.5,"Moderate",39.458788,-0.34471,2019
"Avda. Francia","15-02-2019",22,30,9,43,4.67326007326007,0.1,4,43,188.75,"Moderate",39.458788,-0.34471,2019
"Avda. Francia","16-02-2019",28,34,7,37,4.67326007326007,0.1,5,49,200,"Moderate",39.458788,-0.34471,2019
"Avda. Francia","17-02-2019",15,19,4,29,4.67326007326007,0.1,4,54,156.25,"Moderate",39.458788,-0.34471,2019
"Avda. Francia","18-02-2019",20,27,11,36,4.67326007326007,0.1,5,57,195,"Moderate",39.458788,-0.34471,2019
"Avda. Francia","19-02-2019",27,36,11,40,4.67326007326007,0.1,6,53,216.25,"Poor",39.458788,-0.34471,2019
"Avda. Francia","20-02-2019",27,36,8,42,4.67326007326007,0.1,6,52,213.75,"Poor",39.458788,-0.34471,2019
"Avda. Francia","21-02-2019",38,50,19,54,4.67326007326007,0.1,6,35,252.5,"Poor",39.458788,-0.34471,2019
"Avda. Francia","22-02-2019",44,76,40,79,4.67326007326007,0.2,9,19,333.75,"Very Poor",39.458788,-0.34471,2019
"Avda. Francia","23-02-2019",32,55,5,54,4.67326007326007,0.1,8,35,236.25,"Poor",39.458788,-0.34471,2019
"Avda. Francia","24-02-2019",32,46,4,42,4.67326007326007,0.1,8,54,232.5,"Poor",39.458788,-0.34471,2019
"Avda. Francia","25-02-2019",31,44,13,54,4.67326007326007,0.1,3.78532608695652,36,222.5,"Poor",39.458788,-0.34471,2019
"Avda. Francia","26-02-2019",26,44,19,66,4.67326007326007,0.1,3.78532608695652,33,235,"Poor",39.458788,-0.34471,2019
"Avda. Francia","27-02-2019",27,57,37,80,4.67326007326007,0.1,3.78532608695652,27,285,"Poor",39.458788,-0.34471,2019
"Avda. Francia","28-02-2019",25,52,17,71,4.67326007326007,0.1,3.78532608695652,34,248.75,"Poor",39.458788,-0.34471,2019
"Avda. Francia","1-03-2019",23,37,45,53,4.67326007326007,0.2,6,10,217.5,"Poor",39.458788,-0.34471,2019
"Avda. Francia","2-03-2019",4,16,2,2,4.67326007326007,0.1,4,69,121.25,"Moderate",39.458788,-0.34471,2019
"Avda. Francia","3-03-2019",16,28,4,47,4.67326007326007,0.1,4,44,178.75,"Moderate",39.458788,-0.34471,2019
"Avda. Francia","4-03-2019",13,20,8,28,4.67326007326007,0.1,4,59,165,"Moderate",39.458788,-0.34471,2019
"Avda. Francia","5-03-2019",14,20,6,23,4.67326007326007,0.1,5,55,153.75,"Moderate",39.458788,-0.34471,2019
"Avda. Francia","6-03-2019",10,23,4,16,4.67326007326007,0.2,3,80,170,"Moderate",39.458788,-0.34471,2019
"Avda. Francia","7-03-2019",15,26,3,18,4.67326007326007,0.1,5,69,170,"Moderate",39.458788,-0.34471,2019
"Avda. Francia","8-03-2019",11,17,2,7,4.67326007326007,0.1,4,74,143.75,"Moderate",39.458788,-0.34471,2019
"Avda. Francia","9-03-2019",7,11,2,19,4.67326007326007,0.1,3,59,126.25,"Moderate",39.458788,-0.34471,2019
"Avda. Francia","10-03-2019",6,16,7,14,4.67326007326007,0.2,4,53,125,"Moderate",39.458788,-0.34471,2019
"Avda. Francia","11-03-2019",3,7,1,4,4.67326007326007,0.2,3,78,120,"Moderate",39.458788,-0.34471,2019
"Avda. Francia","12-03-2019",7,8,1,16,4.67326007326007,0.1,3,42,96.25,"Satisfactory",39.458788,-0.34471,2019
"Avda. Francia","13-03-2019",16,30,6,34,4.67326007326007,0.1,6,46,172.5,"Moderate",39.458788,-0.34471,2019
"Avda. Francia","14-03-2019",9,21,5,33,4.67326007326007,0.1,7,50,156.25,"Moderate",39.458788,-0.34471,2019
"Avda. Francia","15-03-2019",18,38,12,47,4.67326007326007,0.2,7,38,200,"Moderate",39.458788,-0.34471,2019
"Avda. Francia","16-03-2019",28,38,4,32,4.67326007326007,0.2,6,57,206.25,"Poor",39.458788,-0.34471,2019
"Avda. Francia","17-03-2019",24,41,7,27,4.67326007326007,0.1,6,64,211.25,"Poor",39.458788,-0.34471,2019
